speaker,timestamp,text,source,date,topics
Dana Bash,00:57,"This debate is being produced by CNN and is coming to you live on CNN, CNN International, cnn.com, CNN Max and CNN Espanol. This is a pivotal moment between President Joe Biden and Former President Donald Trump in their rematch for the nation's highest office. Each will make his case to the American people with just over four months until election day. Good evening, I'm Dana Bash, anchor of CNN's Inside Politics and co-anchor of State of the Union.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"foreign_policy,elections"
Jake Tapper,01:28,"I'm Jake Tapper, anchor of CNN's The Lead and co-anchor of State of the Union. Dana and I will co-moderate this evening. Our job is to facilitate a debate between the two candidates tonight. Before we introduce them, we want to share the rules of the debate with the audience at home. Former President Trump will be on the left side of the screen, President Biden will be appearing on the right, a coin toss determined their positions.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Dana Bash,02:05,"When it's time for a candidate to speak, his microphone will be turned on and his opponent's microphone will be turned off.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Jake Tapper,02:40,"Now, please welcome the 46th President of the United States, Joe Biden.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Joe Biden,02:47,"Folks, how are you? Nice to be here, thanks.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,general_politics
Jake Tapper,02:57,"And please welcome the 45th President of the United States, Donald Trump. Gentlemen, thanks so much for being here, let's begin the debate and let's start with the issue that voters consistently say is their top concern, the economy. President Biden, inflation has slowed, but prices remain high. Since you took office, the price of essentials has increased. For example, a basket of groceries that cost $100 then now costs more than $120, and typical home prices have jumped more than 30%. What do you say to voters who feel they are worse off under your presidency than they were under President Trump?",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Joe Biden,03:45,"We got to take a look at what I was left when I became president and what Mr. Trump left me. We had an economy that was in free fall, the pandemic was so badly handled, many people were dying. All he said was, ""It's not that serious, just inject a little bleach into your arm. You'll be all right."" The economy collapsed, there were no jobs. Unemployment rate rose to 15%, it was terrible. And so what we had to do is try to put things back together again.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"economy,healthcare"
Donald Trump,05:40,"We have the greatest economy in the history of our country, we have never done so well. Everybody was amazed by it and other countries were copying us. We got hit with COVID, and when we did, we spent the money necessary, so we wouldn't end up in a great depression, the likes of which we had in 1929.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"economy,general_politics"
Jake Tapper,06:40,Thank you. President Biden?,2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
Joe Biden,06:42,"Well, look, the greatest economy in the world. He's the only one that thinks that, I think. I don't know anybody else who thinks he had the greatest economy in the world.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,"economy,general_politics"
Jake Tapper,07:39,"President Trump, I want to follow up, if I can.",2024 CNN PRESIDENTIAL DEBATE,2024-06-27,moderator
